,English,Italian,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
46,subscription,abbonamento,0,0,0,0,0,0,0,0,0,0
47,subscribe,abbonarsi,0,0,0,1,0,0,0,0,0,0
48,commuter,abbonato,0,0,0,0,0,0,0,0,0,0
49,abundant,abbondante,1,0,0,0,0,0,1,0,0,0
50,abundance,abbondanza,1,1,0,1,1,0,1,0,0,1
51,plenty,abbondanza,0,0,0,0,0,0,0,0,0,0
52,abound,abbondare,0,0,0,0,0,0,0,0,0,0
53,embrace,abbracciare,1,0,0,1,0,0,1,0,1,1
54,hug,abbraccio,1,0,0,0,0,0,1,0,0,1
55,abbreviate,abbreviare,0,0,0,0,0,0,0,0,0,0
56,shorten,abbreviare,0,0,0,0,0,0,0,0,0,0
57,abbreviation,abbreviazione,0,0,0,0,0,0,0,0,0,0
58,tanned,abbronzato,1,0,0,0,0,0,0,0,0,0
59,tan,abbronzatura,0,0,0,0,0,0,0,0,0,0
60,aberrant,aberrante,0,1,0,0,0,0,0,0,0,0
61,aberration,aberrazione,0,1,0,0,1,0,0,0,0,0
62,abject,abietto,0,1,0,0,1,0,0,0,0,0
63,adept,abile,1,0,0,0,0,0,0,0,0,0
64,artful,abile,0,0,0,0,0,0,0,0,0,0
65,deft,abile,0,0,0,0,0,0,0,0,0,0
66,skillful,abile,1,0,0,0,0,0,0,0,0,1
67,knack,abilità,1,0,0,0,0,0,0,0,0,0
68,skill,abilità,0,0,0,0,0,0,0,0,0,0
69,enablement,abilitazione,1,0,0,0,0,0,0,0,0,1
70,abysmal,abissale,0,1,0,0,0,0,0,1,0,0
71,abyss,abisso,0,1,0,0,0,1,0,1,0,0
72,chasm,abisso,0,0,0,0,0,1,0,0,0,0
73,inhabiting,abitando,0,0,0,0,0,0,0,0,0,0
74,dweller,abitante,0,0,0,0,0,0,0,0,0,0
75,inhabitant,abitante,0,0,0,0,0,0,0,0,0,0
76,dwell,abitare,0,0,0,0,0,0,0,0,0,0
77,inhabit,abitare,0,0,0,0,0,0,0,0,0,0
78,inhabited,abitato,0,0,0,0,0,0,0,0,0,0
79,dwelling,abitazione,0,0,0,0,0,0,0,0,0,0
80,habitation,abitazione,0,0,0,0,0,0,0,0,0,0
81,clothes,abiti,0,0,0,0,0,0,0,0,0,0
82,habitual,abituale,0,0,0,1,0,0,0,0,0,0
83,habitually,abitualmente,0,0,0,0,0,0,0,0,0,0
84,wont,abituato,0,0,0,1,0,0,0,0,0,0
85,custom,abitudine,0,0,0,0,0,0,0,0,0,0
86,habit,abitudine,0,0,0,0,0,0,0,0,0,0
87,ablation,ablazione,0,0,0,0,0,0,0,0,0,0
88,abolish,abolire,0,1,1,0,0,0,0,0,0,0
89,abolition,abolizione,0,1,0,0,0,0,0,0,0,0
90,abominable,abominevole,0,1,0,0,1,1,0,0,0,0
91,abomination,abominio,0,1,1,0,1,1,0,0,0,0
92,aboriginal,aborigeno,0,0,0,0,0,0,0,0,0,0
93,abhor,aborrire,0,1,1,0,1,1,0,0,0,0
94,abort,abortire,0,1,0,0,0,0,0,0,0,0
95,abortive,abortivo,0,1,0,0,0,0,0,1,0,0
96,abortion,aborto,0,1,0,0,1,1,0,1,0,0
97,miscarriage,aborto spontaneo,0,1,0,0,0,1,0,1,0,0
98,abrasion,abrasione,0,1,0,0,0,0,0,0,0,0
99,abrogate,abrogare,0,1,0,0,0,0,0,0,0,0
100,illegally,abusivamente,0,0,0,0,0,0,0,0,0,0
101,abuse,abuso,0,1,1,0,1,1,0,1,0,0
102,misuse,abuso,0,1,0,0,0,0,0,0,0,0
103,aby,aby,0,0,0,0,0,0,0,0,0,0
104,mite,acaro,0,1,0,0,1,0,0,0,0,0
105,academy,accademia,1,0,0,0,0,0,0,0,0,0
106,academic,accademico,1,0,0,0,0,0,0,0,0,1
107,huddle,accalcarsi,0,0,0,0,0,0,0,0,0,0
108,encampment,accampamento,0,0,0,0,0,0,0,0,0,0
109,dogged,accanito,1,0,0,0,0,0,0,0,0,0
110,alongside,accanto,0,0,0,0,0,0,0,0,0,0
111,robe,accappatoio,0,0,0,0,0,0,0,0,0,0
112,fondling,accarezza,0,0,0,0,0,0,0,0,0,0
113,cherish,accarezzare,1,0,0,1,0,0,1,0,1,1
114,begging,accattonaggio,0,1,0,0,0,0,0,0,0,0
115,blinded,accecato,0,1,0,0,0,0,0,0,0,0
116,accelerate,accelerare,0,0,0,1,0,0,0,0,0,0
117,acceleration,accelerazione,0,0,0,0,0,0,0,0,0,0
118,beckon,accennare,0,0,0,0,0,0,0,0,0,0
119,inkling,accenno,0,0,0,0,0,0,0,0,0,0
120,ignition,accensione,0,0,0,0,0,0,0,0,0,0
121,accent,accento,0,0,0,0,0,0,0,0,0,0
122,accentuate,accentuare,0,0,0,0,0,0,0,0,0,0
123,ascertain,accertare,0,0,0,0,0,0,0,0,0,0
124,ascertained,accertato,0,0,0,0,0,0,0,0,0,0
125,accessible,accessibile,1,0,0,0,0,0,0,0,0,0
126,accession,accessione,0,0,0,0,0,0,0,0,0,0
127,access,accesso,0,0,0,0,0,0,0,0,0,0
128,accessory,accessorio,0,0,0,0,0,0,0,0,0,0
129,hatchet,accetta,0,0,0,0,0,0,0,0,0,0
130,acceptable,accettabile,1,0,0,0,0,0,0,0,0,0
131,accept,accettare,0,0,0,0,0,0,0,0,0,0
132,acceptance,accettazione,1,0,0,0,0,0,0,0,0,0
133,steel,acciaio,0,0,0,0,0,0,0,0,0,0
134,accidental,accidentale,0,1,0,0,0,1,0,0,1,0
135,accidentally,accidentalmente,0,0,0,0,0,0,0,0,1,0
136,frowning,accigliato,0,1,1,0,1,0,0,1,0,0
137,glum,accigliato,0,1,0,0,0,0,0,1,0,0
138,cosy,accogliente,1,0,0,0,0,0,0,0,0,0
139,welcomed,accolto,1,0,0,0,0,0,1,0,0,0
140,accompaniment,accompagnamento,1,0,0,1,0,0,1,0,0,1
141,accompanying,accompagnamento,0,0,0,0,0,0,0,0,0,0
142,accompany,accompagnare,0,0,0,0,0,0,0,0,0,0
143,joining,accoppiamento,0,0,0,0,0,0,0,0,0,0
144,matching,accoppiamento,0,0,0,0,0,0,0,0,0,0
145,coupled,accoppiato,0,0,0,0,0,0,0,0,0,0
146,chords,Accordi,0,0,0,0,0,0,0,0,0,0
147,accord,accordo,1,0,0,0,0,0,0,0,0,1
148,agreement,accordo,1,0,0,0,0,0,0,0,0,1
149,crouch,accovacciarsi,0,0,0,0,0,1,0,0,0,0
150,crouched,accovacciato,0,0,0,0,0,0,0,0,0,0
151,crouching,accovacciato,0,1,0,0,0,1,0,0,0,0
152,accredited,accreditato,1,0,0,0,0,0,0,0,0,1
153,credited,accreditato,1,0,0,0,0,0,0,0,0,0
154,crediting,accredito,0,0,0,0,0,0,0,0,0,0
155,enhance,accrescere,1,0,0,0,0,0,0,0,0,0
156,accretion,accrescimento,0,0,0,0,0,0,0,0,0,0
157,accueil,accueil,1,0,0,0,0,0,0,0,0,0
158,accumulate,accumulare,0,0,0,0,0,0,0,0,0,0
159,amass,accumulare,0,0,0,0,0,0,0,0,0,0
160,accumulation,accumulazione,0,0,0,0,0,0,0,0,0,0
161,carefully,accuratamente,1,0,0,0,0,0,0,0,0,0
162,accuracy,accuratezza,0,0,0,0,0,0,0,0,0,0
163,painstaking,accurato,0,0,0,0,0,0,0,0,0,0
164,accusation,accusa,0,1,1,0,1,0,0,0,0,0
165,impeachment,accusa,0,1,0,0,0,0,0,0,0,0
166,indictment,accusa,0,1,0,0,0,1,0,0,0,0
167,prosecution,accusa,0,1,0,0,1,0,0,0,0,0
168,accusing,accusando,0,1,1,0,0,1,0,0,0,0
169,impeach,accusare,0,1,0,0,1,1,0,0,0,0
170,accusative,accusativo,0,1,0,0,0,0,0,0,0,0
171,accused,accusato,0,1,1,0,0,1,0,0,0,0
172,accuser,accusatore,0,1,1,0,0,1,0,0,0,0
173,prosecutor,accusatore,0,0,0,0,0,0,0,0,0,0
174,acetic,acetico,0,0,0,0,0,0,0,0,0,0
175,vinegar,aceto,0,0,0,0,0,0,0,0,0,0
176,acidity,acidità,0,0,0,0,0,0,0,0,0,0
177,acid,acido,0,1,0,0,0,0,0,0,0,0
178,acme,acme,0,0,0,0,0,0,0,0,0,0
179,aqua,acqua,0,0,0,0,0,0,0,0,0,0
180,water,acqua,0,0,0,0,0,0,0,0,0,0
181,backwater,acqua stagnante,0,1,0,0,0,0,0,1,0,0
182,etching,acquaforte,0,0,0,0,0,0,0,0,0,0
183,aquamarine,acquamarina,0,0,0,0,0,0,0,0,0,0
184,aquarium,acquario,0,0,0,0,0,0,0,0,0,0
185,aquatic,acquatico,0,0,0,0,0,0,0,0,0,0
186,downpour,acquazzone,0,0,0,0,0,0,0,0,0,0
187,aqueduct,acquedotto,0,0,0,0,0,0,0,0,0,0
188,acquiescence,acquiescenza,0,0,0,0,0,0,0,0,0,0
189,buyer,acquirente,0,0,0,0,0,0,0,0,0,0
190,purchaser,acquirente,0,0,0,0,0,0,0,0,0,0
191,vested,acquisito,0,0,0,0,0,0,0,0,0,0
192,acquiring,acquisizione,1,0,0,1,0,0,0,0,0,0
193,acquisition,acquisizione,0,0,0,0,0,0,0,0,0,0
194,acquisitions,acquisizioni,0,0,0,0,0,0,0,0,0,0
195,acquire,acquistare,1,0,0,0,0,0,0,0,0,0
196,buy,acquistare,0,0,0,0,0,0,0,0,0,0
197,shopping,acquisti,1,0,0,1,0,0,1,0,1,1
198,buying,acquisto,0,0,0,0,0,0,0,0,0,0
199,purchase,acquisto,0,0,0,0,0,0,0,0,0,0
200,purchasing,acquisto,0,0,0,0,0,0,0,0,0,0
201,aqueous,acquoso,0,0,0,0,0,0,0,0,0,0
202,acres,acri,0,0,0,0,0,0,0,0,0,0
203,acrobat,acrobata,1,0,0,0,0,1,1,0,0,1
204,acumen,acume,1,0,0,0,0,0,0,0,0,0
205,acoustics,acustica,0,0,0,0,0,0,0,0,0,0
206,acoustic,acustico,0,0,0,0,0,0,0,0,0,0
207,acutely,acutamente,0,0,0,0,0,0,0,0,0,0
208,acuity,acutezza,1,0,0,0,0,0,0,0,0,0
209,adage,adagio,0,0,0,0,0,0,0,0,0,0
210,adaptable,adattabile,1,0,0,0,0,0,0,0,0,0
211,adapt,adattare,1,0,0,0,0,0,0,0,0,0
212,apt,adatto,1,0,0,0,0,0,0,0,0,0
213,befitting,adatto,1,0,0,0,0,0,0,0,0,0
214,fitting,adatto,1,0,0,1,0,0,1,0,0,1
215,suitable,adatto,1,0,0,0,0,0,0,0,0,0
216,chargeable,addebitabile,0,1,0,0,0,1,0,1,0,0
217,debit,addebito,0,0,0,0,0,0,0,0,0,0
218,thicken,addensare,0,0,0,0,0,0,0,0,0,0
219,adieu,addio,0,0,0,0,0,0,0,0,0,0
220,bye,addio,0,0,0,1,0,0,0,0,0,0
221,farewell,addio,0,0,0,0,0,0,0,0,0,0
222,additive,additivo,0,0,0,0,0,0,0,0,0,0
223,additional,addizionale,0,0,0,0,0,0,0,0,0,0
224,sweeten,addolcire,0,0,0,0,0,0,0,0,0,0
225,grieve,addolorarsi,0,1,0,0,0,1,0,1,0,0
226,pained,addolorato,0,1,0,0,0,1,0,1,0,0
227,abdomen,addome,0,0,0,0,0,0,0,0,0,0
228,domestication,addomesticamento,0,0,0,0,0,0,0,0,0,0
229,domesticated,addomesticati,0,0,0,0,0,0,0,0,0,0
230,abdominal,addominale,0,0,0,0,0,0,0,0,0,0
231,asleep,addormentato,0,0,0,0,0,0,0,0,0,0
232,adequacy,adeguatezza,1,0,0,0,0,0,0,0,0,0
233,adequate,adeguato,0,0,0,0,0,0,0,0,0,0
234,adhering,aderendo,0,0,0,0,0,0,0,0,0,1
235,adherent,aderente,0,0,0,0,0,0,0,0,0,0
236,adherence,aderenza,0,0,0,0,0,0,0,0,0,0
237,accede,aderire,0,0,0,0,0,0,0,0,0,0
238,adhere,aderire,0,0,0,0,0,0,0,0,0,0
239,join,aderire,1,0,0,0,0,0,0,0,0,0
240,entice,adescare,0,0,0,0,0,0,0,0,0,0
241,adhesion,adesione,0,0,0,0,0,0,0,0,0,0
242,adhesive,adesivo,0,0,0,0,0,0,0,0,0,0
243,adjacent,adiacente,0,0,0,0,0,0,0,0,0,0
244,adjoining,adiacente,0,0,0,0,0,0,0,0,0,0
245,adjacency,adiacenza,0,0,0,0,0,0,0,0,0,0
246,adipose,adiposo,0,1,0,0,0,0,0,0,0,0
247,adjuvant,adiuvante,0,0,0,0,0,0,0,0,0,0
248,adobe,adobe,0,0,0,0,0,0,0,0,0,0
249,adolescent,adolescente,0,0,0,0,0,0,0,0,0,0
250,adolescence,adolescenza,0,0,0,0,0,0,0,0,0,0
251,adorable,adorabile,1,0,0,0,0,0,1,0,0,0
252,adore,adorare,1,0,0,1,0,0,1,0,0,1
253,adoration,adorazione,1,0,0,0,0,0,1,0,0,1
254,adorn,adornare,0,0,0,0,0,0,0,0,0,0
255,adopt,adottare,0,0,0,0,0,0,0,0,0,0
256,adoption,adozione,0,0,0,0,0,0,0,0,0,0
257,flattery,adulazione,0,0,0,0,0,0,0,0,0,0
258,adultery,adulterio,0,1,0,0,1,0,0,1,0,0
259,adult,adulto,0,0,0,0,0,0,0,0,0,0
260,hooked,adunco,0,1,0,0,0,0,0,0,0,0
261,advisement,advisement,0,0,0,0,0,0,0,0,0,0
262,aeration,aerazione,0,0,0,0,0,0,0,0,0,0
263,aerial,aereo,0,0,0,0,0,0,0,0,0,0
264,aeroplane,aereo,0,0,0,0,0,0,0,0,0,0
265,airplane,aereo,0,0,0,0,0,0,0,0,0,0
266,plane,aereo,0,0,0,0,0,0,0,0,0,0
267,aerodynamics,aerodinamica,0,0,0,0,0,0,0,0,0,0
268,aerodrome,aerodromo,0,0,0,0,0,0,0,0,0,0
269,aeronautics,aeronautica,0,0,0,0,0,0,0,0,0,0
270,airport,aeroporto,0,0,0,1,0,0,0,0,0,0
271,affable,affabile,1,0,0,0,0,0,0,0,0,0
272,easygoing,affabile,1,0,0,0,0,0,0,0,0,0
273,hungry,Affamato,0,1,0,1,0,0,0,0,0,0
274,starving,affamato,0,1,0,0,0,0,0,0,0,0
275,labored,affannoso,0,1,0,0,0,0,0,1,0,0
276,affair,affare,0,0,0,0,0,0,0,0,0,0
277,bargain,affare,1,0,0,0,0,0,0,0,0,1
278,deal,affare,1,0,0,1,0,0,1,0,1,1
279,business,affari,0,0,0,0,0,0,0,0,0,0
280,charming,affascinante,1,0,0,0,0,0,0,0,0,0
281,fascinating,affascinante,1,0,0,0,0,0,0,0,0,0
282,captivate,affascinare,1,0,0,1,0,0,1,0,1,1
283,asserting,affermando,1,0,0,0,0,0,0,0,0,1
284,affirm,affermare,1,0,0,0,0,0,0,0,0,1
285,assert,affermare,0,0,0,0,0,0,0,0,0,0
286,affirmative,affermativa,1,0,0,0,0,0,0,0,0,0
287,affirmatively,affermativamente,1,0,0,0,0,0,0,0,0,1
288,affirmation,affermazione,1,0,0,0,0,0,0,0,0,0
289,grab,afferrare,0,1,1,0,0,0,0,0,0,0
290,affection,affetto,1,0,0,0,0,0,1,0,0,1
291,affections,affezioni,0,0,0,0,0,0,0,0,0,0
292,flanking,affiancando,0,0,0,0,0,0,0,0,0,0
293,affiche,affiche,0,0,0,0,0,0,0,0,0,0
294,reliable,affidabile,1,0,0,0,0,0,0,0,0,1
295,reliability,affidabilità,1,0,0,0,0,0,0,0,0,1
296,entrust,affidare,0,0,0,0,0,0,0,0,0,1
297,affidavit,affidavit,0,0,0,0,0,0,0,0,0,0
298,sharpener,affilacoltelli,0,0,0,0,0,0,0,0,0,0
299,affiliated,affiliati,1,0,0,0,0,0,0,0,0,0
300,affiliation,affiliazione,0,0,0,0,0,0,0,0,0,0
301,sharpen,affinare,0,0,1,1,0,0,0,0,0,0
302,cognate,affine,0,0,0,0,0,0,0,0,0,0
303,kindred,affine,1,0,0,1,0,0,1,0,0,1
304,affinity,affinità,0,0,0,0,0,0,0,0,0,0
305,rent,affitto,0,0,0,0,0,0,0,0,0,0
306,afflict,affliggere,0,1,0,0,0,1,0,1,0,0
307,afflicted,afflitto,0,1,0,0,0,0,0,0,0,0
308,distressed,afflitto,0,1,0,0,0,1,0,0,0,0
309,affliction,afflizione,0,1,0,0,1,1,0,1,0,0
310,affluent,affluente,1,0,0,0,0,0,0,0,0,0
311,affluence,affluenza,1,0,0,0,0,0,1,0,0,0
312,influx,afflusso,0,0,0,0,0,0,0,0,0,0
313,crowded,affollato,0,0,0,0,0,0,0,0,0,0
314,sunk,affondato,0,1,0,0,1,1,0,1,0,0
315,fresco,affresco,0,0,0,0,0,0,0,0,0,0
316,expedite,affrettare,0,0,0,0,0,0,0,0,0,0
317,hasten,affrettare,0,0,0,0,0,0,0,0,0,0
318,confront,affrontare,0,0,1,0,0,0,0,0,0,0
319,tackle,affrontare,0,0,1,0,0,0,0,0,1,0
320,affront,affronto,0,1,1,0,1,1,0,1,1,0
321,aphid,afide,0,1,0,0,1,0,0,0,0,0
322,sultry,afoso,1,0,0,0,0,0,0,0,0,0
323,aga,aga,1,0,0,0,0,1,0,0,0,1
324,agate,agata,0,0,0,0,0,0,0,0,0,0
325,agent,agente,0,0,0,0,0,0,0,0,0,0
326,agency,agenzia,0,0,0,0,0,0,0,0,0,0
327,concessional,agevolati,0,0,0,0,0,0,0,0,0,0
328,adjective,aggettivo,0,0,0,0,0,0,0,0,0,0
329,adjournment,aggiornamento,0,0,0,0,0,0,0,0,0,0
330,adjourn,aggiornare,0,0,0,0,0,0,0,0,0,0
331,adjudication,aggiudicazione,0,0,0,0,0,0,0,0,0,0
332,add,aggiungere,0,0,0,0,0,0,0,0,0,0
333,append,aggiungere,0,0,0,0,0,0,0,0,0,0
334,addition,aggiunta,0,0,0,0,0,0,0,0,0,0
335,adjunct,aggiunta,1,0,0,0,0,0,0,0,0,0
336,added,aggiunto,0,0,0,0,0,0,0,0,0,0
337,agglomeration,agglomerazione,0,0,0,0,0,0,0,0,0,0
338,cling,aggrapparsi,0,0,0,0,0,0,0,0,0,0
339,aggravation,aggravamento,0,1,1,0,1,0,0,0,0,0
340,aggravating,aggravante,0,1,1,0,0,0,0,1,0,0
341,aggravated,aggravato,0,1,1,0,0,0,0,0,0,0
342,aggregate,aggregato,0,0,0,0,0,0,0,0,0,0
343,aggregation,aggregazione,0,0,0,0,0,0,0,0,0,0
344,aggression,aggressione,0,1,1,0,0,1,0,0,0,0
345,aggressive,aggressivo,0,1,1,0,0,1,0,0,0,0
346,aggressor,aggressore,0,1,1,0,0,1,0,0,0,0
347,entanglement,aggrovigliamento,0,1,0,0,0,0,0,0,0,0
348,nab,agguantare,0,1,0,0,0,0,0,0,1,0
349,ambush,agguato,0,1,1,0,0,1,0,0,1,0
350,agile,agile,1,0,0,0,0,0,0,0,0,0
351,nimble,agile,0,0,0,0,0,0,0,0,0,0
352,agility,agilità,1,0,0,0,0,0,0,0,0,0
353,stir,agitare,0,0,0,0,0,0,0,0,0,0
354,flustered,agitata,0,0,0,0,0,0,0,0,0,0
355,agitated,agitato,0,1,1,0,0,0,0,0,0,0
356,agitation,agitazione,0,1,1,0,0,0,0,0,0,0
357,commotion,agitazione,0,1,1,0,0,0,0,0,0,0
358,unrest,agitazione,0,0,0,0,0,1,0,1,0,0
359,garlic,aglio,0,0,0,0,0,0,0,0,0,0
360,lamb,agnello,1,0,0,0,0,0,1,0,0,1
361,agnostic,agnostico,0,0,0,0,0,0,0,0,0,0
362,needle,ago,1,0,0,0,0,0,0,0,0,0
363,agony,agonia,0,1,1,0,0,1,0,1,0,0
364,agonizing,agonizzante,0,1,0,0,0,1,0,0,0,0
365,acupuncture,agopuntura,0,0,0,0,0,0,0,0,0,0
366,agricultural,agricolo,0,0,0,0,0,0,0,0,0,0
367,agriculture,agricoltura,1,0,0,0,0,0,0,0,0,0
368,farming,agricoltura,0,0,0,0,0,0,0,0,0,0
369,husbandry,agricoltura,1,0,0,0,0,0,0,0,0,1
370,agua,agua,0,0,0,0,0,0,0,0,0,0
371,ail,ail,0,1,0,0,0,0,0,1,0,0
372,airbag,airbag,0,0,0,0,0,0,0,0,0,0
373,ait,ait,0,0,0,0,0,0,0,0,0,0
374,helper,aiutante,1,0,0,0,0,0,0,0,0,1
375,befriend,aiutare,1,0,0,0,0,0,1,0,0,1
376,aid,aiuto,1,0,0,0,0,0,0,0,0,0
377,conversant,al corrente,1,0,0,0,0,0,0,0,0,0
378,retail,Al dettaglio,0,0,0,0,0,0,0,0,0,0
379,upstairs,al piano di sopra,0,0,0,0,0,0,0,0,0,0
380,wing,ala,0,0,0,0,0,0,0,0,0,0
381,alabaster,alabastro,1,0,0,0,0,0,0,0,0,0
382,dawn,alba,1,0,0,1,0,0,1,0,1,1
383,daybreak,alba,0,0,0,0,0,0,0,0,0,0
384,sunrise,alba,0,0,0,0,0,0,0,0,0,0
385,tree,albero,1,0,1,1,1,0,1,0,1,1
386,album,album,0,0,0,0,0,0,0,0,0,0
387,alkali,alcali,0,0,0,0,0,0,0,0,0,0
388,alkaloids,alcaloidi,0,0,0,0,0,0,0,0,0,0
389,elk,alce,0,0,0,0,0,0,0,0,0,0
390,moose,alce americano,0,0,0,0,0,0,0,0,0,0
391,alchemy,alchimia,0,0,0,0,0,0,0,0,0,0
392,alcohol,alcol,0,0,0,0,0,0,0,0,0,0
393,alcoholism,alcolismo,0,1,1,0,1,1,0,1,0,0
394,alcove,alcova,0,0,0,0,0,0,0,0,0,0
395,bore,alesaggio,0,1,0,0,0,0,0,0,0,0
396,fin,aletta,0,0,0,0,0,0,0,0,0,0
397,lug,aletta,0,0,0,0,0,0,0,0,0,0
398,alphabetical,alfabetico,0,0,0,0,0,0,0,0,0,0
399,alphabet,alfabeto,0,0,0,0,0,0,0,0,0,0
400,ensign,alfiere,1,0,0,0,0,0,0,0,0,0
401,algebra,algebra,0,0,0,0,0,0,0,0,0,0
402,algebraic,algebrica,0,0,0,0,0,0,0,0,0,0
403,algorithm,algoritmo,0,0,0,0,0,0,0,0,0,0
404,alibi,alibi,0,0,0,0,0,0,0,0,0,0
405,alienate,alienare,0,1,1,0,1,0,0,0,0,0
406,alienated,alienato,0,1,0,0,0,0,0,1,0,0
407,alienation,alienazione,0,1,1,0,1,1,0,1,0,0
408,alien,alieno,0,1,0,0,1,1,0,0,0,0
409,feeder,Alimentatore,0,0,0,0,0,0,0,0,0,0
410,alimentation,alimentazione,1,0,0,0,0,0,0,0,0,0
411,feed,alimentazione,0,0,0,0,0,0,0,0,0,0
412,alimony,alimenti,0,1,0,0,0,0,0,0,0,0
413,aliquot,aliquota,0,0,0,0,0,0,0,0,0,0
414,outdoor,all'aperto,0,0,0,0,0,0,0,0,0,0
415,abroad,all'estero,0,0,0,0,0,0,0,0,0,0
416,adrift,alla deriva,0,1,0,1,0,1,0,1,0,0
417,drifted,alla deriva,0,0,0,0,0,0,0,0,0,0
418,fashionable,alla moda,1,0,0,0,0,0,0,0,0,0
419,enlargement,allargamento,0,0,0,0,0,0,0,0,0,0
420,enlarged,allargata,0,0,0,0,0,0,0,0,0,0
421,alarming,allarmante,0,1,0,0,0,1,0,0,1,0
422,alarm,allarme,0,1,0,0,0,1,0,0,1,0
423,alert,allarme,0,0,0,0,0,0,0,0,0,0
424,alliance,alleanza,0,0,0,0,0,0,0,0,0,1
425,allied,alleato,1,0,0,0,0,0,0,0,0,1
426,ally,alleato,1,0,0,0,0,0,0,0,0,1
427,allege,allegare,0,1,0,0,0,0,0,0,0,0
428,attach,allegare,0,0,0,0,0,0,0,0,0,0
429,enclose,allegare,0,0,0,0,0,0,0,0,0,0
430,allegation,allegazione,0,1,1,0,0,0,0,0,0,0
431,lighten,alleggerire,0,0,0,0,0,0,0,0,0,0
432,allegory,allegoria,0,0,0,0,0,0,0,0,0,0
433,allegorical,allegorico,0,0,0,0,0,0,0,0,0,0
434,cheerfulness,allegria,1,0,0,1,0,0,1,0,0,1
435,merriment,allegria,1,0,0,0,0,0,1,0,1,0
436,allegro,allegro,1,0,0,0,0,0,0,0,0,0
437,cheerful,allegro,1,0,0,0,0,0,1,0,1,0
438,cheery,allegro,1,0,0,1,0,0,1,0,0,0
439,merry,allegro,1,0,0,0,0,0,1,0,0,0
440,coach,allenatore,0,0,0,0,0,0,0,0,0,1
441,trainer,allenatore,0,0,0,0,0,0,0,0,0,1
442,loosening,allentamento,0,0,0,0,0,0,0,0,0,0
443,loosen,allentare,0,0,0,0,0,0,0,0,0,0
444,alluring,allettante,1,0,0,0,0,0,0,0,0,0
445,allure,allettare,1,0,0,1,0,0,1,0,1,0
446,breeding,allevamento,0,0,0,0,0,0,0,0,0,0
447,breed,allevare,0,0,0,0,0,0,0,0,0,0
448,breeder,allevatore,0,0,0,0,0,0,0,0,0,0
